,id,date,text,likes,retweet,comments,urls
162,1265572885453836288,2020-05-27 09:17:43+00:00,One more delivery partner on board!   Craving for our awesome meals to fill up the appetite during this blissful… https://t.co/uetozJfc51,5,3,0,[{'url': 'https://t.co/uetozJfc51'}]
163,1249926649895768065,2020-04-14 05:05:10+00:00,Sending immense love to all our beloved staffs who have been working tirelessly to make sure your tummies are fille… https://t.co/9T7hTNEYtq,2,2,1,[{'url': 'https://t.co/9T7hTNEYtq'}]
164,1196656521557397505,2019-11-19 05:08:42+00:00,RT @_poreberalone: Anyone ?Haha https://t.co/VuCjZDW5Sn,0,1,2,[{'url': 'https://t.co/VuCjZDW5Sn'}]
165,1214390782196514818,2020-01-07 03:38:19+00:00,Ever wished for something cheesy complemented by something creamier all in one plate? Sounds too good to be true? W… https://t.co/sWuubcJJQa,6,2,0,[{'url': 'https://t.co/sWuubcJJQa'}]
166,1311494926857715712,2020-10-01 02:35:31+00:00,"Get your lanterns, candles and mooncakes ready for this lovely celebration.   Wishing everyone a blessed Mid-Autu… https://t.co/P3rrrNdnZh",3,0,0,[{'url': 'https://t.co/P3rrrNdnZh'}]
167,1232865007517356032,2020-02-27 03:08:17+00:00,High school memories are always golden! Do you have any great memories with A&amp;W during your high school days? Share… https://t.co/YwVMVkM9X2,0,0,0,[{'url': 'https://t.co/YwVMVkM9X2'}]
168,1298123014144323584,2020-08-25 05:00:19+00:00,Everyone knows that Tuesday is the day for CONEY!Indulge in our Chicken Coney that gives you the irresistible tas… https://t.co/DCTU1KwcLT,3,1,0,[{'url': 'https://t.co/DCTU1KwcLT'}]
169,1293069403634851840,2020-08-11 06:19:04+00:00,"4 chicken is better than 1!   Well done to those who guessed it right.   Make way for the one and only, A&amp;W Chi… https://t.co/FA3OROpbh4",17,13,2,[{'url': 'https://t.co/FA3OROpbh4'}]
170,1291395606439591937,2020-08-06 15:28:00+00:00,RT @nurainFasiha: @anwmalaysia #NationalRBFloatDay done. Add on rm5 for coney chicken 😋 https://t.co/VzgXmkmicO,0,1,1,[]
171,1330364814380568577,2020-11-22 04:17:43+00:00,Get your cravings satays-fied with us now! Our Satay Coney gives you the awesome goodness with a hint of local ta… https://t.co/3BSOnBbufI,5,3,0,[{'url': 'https://t.co/3BSOnBbufI'}]
172,1148541741676429312,2019-07-09 10:37:44+00:00,Oh! There will be a slight delay in the opening of our new outlet at Mid Valley SouthKey... But fret not! 😉 We tota… https://t.co/QH3oEROjfT,5,2,0,[{'url': 'https://t.co/QH3oEROjfT'}]
173,1379992395748683781,2021-04-08 03:00:00+00:00,"Which Hula-Hula Burger is your favourite? Chicken fillet, beef patty or both?Tweet us!#anwmalaysia https://t.co/WJ3e83bWhv",0,0,0,[]
174,1326055551441149954,2020-11-10 06:54:15+00:00,📣Attention to all awesome mug collecters out there 📣   Our RB mug is selling fast ‼ Grab yours now before it's to… https://t.co/iQ5lOhRbc2,15,7,0,[{'url': 'https://t.co/iQ5lOhRbc2'}]
