,id,date,text,likes,retweet,comments,urls
25,1311629435292934144,2020-10-01 11:30:00+00:00,"Get 1 Regular Pizza + 1 Personal Pizza from only RM20.20 to satisfy your late-night cravings, with savings of up to… https://t.co/emchSkM3NI",7,2,1,[{'url': 'https://t.co/emchSkM3NI'}]
26,1349973226269544450,2021-01-15 06:54:33+00:00,Sertai pasukan barisan hadapan kami sekarang. Kami mencari Penghantar Piza &amp; Pembuat Piza bagi cawangan Domino's di… https://t.co/nCDTYFvSPc,4,1,2,[{'url': 'https://t.co/nCDTYFvSPc'}]
27,1367042666949566464,2021-03-03 09:22:24+00:00,"Dapatkan dengan tawaran Beli 1 Percuma 2 untuk Jimat Setiap Hari. Nak lebih mudah, pesan untuk Pandu Ambil sekarang… https://t.co/5SM0AAAZCR",3,0,1,[{'url': 'https://t.co/5SM0AAAZCR'}]
28,1339944889191071744,2020-12-18 14:45:31+00:00,"Kalau ada orang ketuk pintu rumah korang, jangan bukak. Takut 'makhluk' lain datang singgah. 👻 Melainkan kalau oran… https://t.co/6T0rP2dOhM",7,1,1,[{'url': 'https://t.co/6T0rP2dOhM'}]
29,1349319965279617024,2021-01-13 11:38:43+00:00,Ini bukan harimau je yang menangis. Admin pun turut sama menangis. 🥺 https://t.co/8DcXXqxKuO,9,1,1,[{'url': 'https://t.co/8DcXXqxKuO'}]
30,1308711803791142913,2020-09-23 10:16:23+00:00,RT @GriffinAnisa: Time to have an official Domino's collaboration https://t.co/PFsX6o9DDp,0,1,2,[{'url': 'https://t.co/PFsX6o9DDp'}]
31,1375283026368679941,2021-03-26 03:06:39+00:00,"Dapatkan dengan tawaran Beli 1 Percuma 2 untuk Jimat Setiap Hari. Nak lebih mudah, pesan untuk Pandu Ambil sekarang… https://t.co/flfqdd0KZP",1,0,1,[{'url': 'https://t.co/flfqdd0KZP'}]
32,1366584312196329476,2021-03-02 03:01:04+00:00,"*Tertakluk pada terma dan syarat.*Surcaj dikenakan untuk Classics, dan First Class.*Kupon kod: WSJG5A",1,0,3,[]
33,1378255928349224963,2021-04-03 07:59:54+00:00,"Jom Sertai Geng Rider Domino's! 🍕 Kami mencari Rider untuk cawangan di sekitar Lembah Klang seperti Damansara, Puch… https://t.co/7yZfc5EzQp",5,3,0,[{'url': 'https://t.co/7yZfc5EzQp'}]
34,1372460372007944199,2021-03-18 08:10:26+00:00,"Dapatkan dengan tawaran Beli 1 Percuma 2 untuk Jimat Setiap Hari. Nak lebih mudah, pesan untuk Pandu Ambil sekarang… https://t.co/ELIsNCT9TQ",0,0,1,[{'url': 'https://t.co/ELIsNCT9TQ'}]
35,1384435788893487111,2021-04-20 09:16:28+00:00,Things are getting spicy in the Domino’s Kitchen. Prepare for a fling this 26 April. https://t.co/21yVkrrLtN,9,0,2,[]
36,1335121853539442690,2020-12-05 07:20:29+00:00,Don't say admin tak ajak! 😝👉🏻 https://t.co/L3QoNwPik8,1,0,1,[{'url': 'https://t.co/L3QoNwPik8'}]
37,1328004834021281793,2020-11-15 16:00:00+00:00,"Oh no, getting hangry? Tackle hunger and anger tu with getting foods that you love. Pizza? Jom! 🍕 Chocolate lava ca… https://t.co/JLzVvKnHUX",2854,159,9,[{'url': 'https://t.co/JLzVvKnHUX'}]
38,1319188735775236096,2020-10-22 08:07:58+00:00,"RT @zunoninonino: Nothing, just killin my time 😢 https://t.co/AfUjfRTbRI",0,1,1,[]
39,1311983756601823232,2020-10-02 10:57:57+00:00,"Don't wait, grab yours today! 👉 https://t.co/ZJ1XWf3jCp 👈*Surcharge applies for Classics, and First Class pizza range.*T&amp;C Apply",1,0,1,[{'url': 'https://t.co/ZJ1XWf3jCp'}]
40,1359336400055791616,2021-02-10 03:00:27+00:00,Terms &amp; Conditions: * Offers valid from 12pm - 5pm only.* Valid for online ordering only.* Valid with purchase of Buy 1 Free 2 Geng only.,0,0,1,[]
41,1319235437286682627,2020-10-22 11:13:33+00:00,Don't say we tak ajak. 😍🍕👉🏻 https://t.co/mkZbf6G3DS,0,1,1,[{'url': 'https://t.co/mkZbf6G3DS'}]
