,id,date,text,likes,retweet,comments,urls
103,1150661688368095232,2019-07-15 07:01:39+00:00,"Aduh, ingatkan menggeletar rusuk kiri tadi https://t.co/ucEw4iPj8V",354,93,8,[{'url': 'https://t.co/ucEw4iPj8V'}]
104,1317683346516836352,2020-10-18 04:26:05+00:00,"Tengah nak makan burger daging Mekdi ke tu? Tunggu jap, ambil gambar kreatif dulu! Dan share kat thread… https://t.co/DHgE8aAEWJ",25,5,2,[{'url': 'https://t.co/DHgE8aAEWJ'}]
105,1296011255069569024,2020-08-19 09:08:56+00:00,"Nasi Lemak McD Rendang Ayam ni memang sedap, tapi…lagi sedap kalau orang kat atas ni yang belanja. https://t.co/EwzSPaRgDg",126,27,10,[]
106,1385402020530515970,2021-04-23 01:15:55+00:00,Agak-agaknya bila hari Jumaat ni. Apa yang korang rasa,14,3,6,[]
107,1282982068188667904,2020-07-14 10:15:36+00:00,"Oppa, Noona yang ku dambai. Burger Korea Hangat Daebak is back! Dua pilihan antara Daging dan Ayam. Rasai kehangata… https://t.co/pdMCDdcJhz",3818,1371,10,[{'url': 'https://t.co/pdMCDdcJhz'}]
108,1120611046039769088,2019-04-23 08:51:07+00:00,RT @neyrashazeyra: Pakai apps @McDMalaysia berbaloi skit . Dapat ayam seketul . https://t.co/HC1ztIB1xU,0,19,1,[]
109,1311630840737140736,2020-10-01 11:35:36+00:00,https://t.co/awRgPpmGec https://t.co/YXJsvmCJwZ,3247,2166,10,[{'url': 'https://t.co/awRgPpmGec'}]
110,1334319592831782914,2020-12-03 02:12:36+00:00,Tak sabarnya nak cuba #IcedBlendedMochaOREO dari McCafe! Tunggu apa lagi? Jom gerak sekarang! #McCafeOREOisback,122,40,11,[]
111,1378918589583880192,2021-04-05 03:53:05+00:00,Tanda puasa moden: Bila dah dengar sayup-sayup nama kurma tu kat radio.,172,45,9,[]
112,1355108433398124547,2021-01-29 11:00:01+00:00,"Jangan tunggu lama-lama, nanti lama-lama, RM18,888 dikebas orang. Gais, tinggal 2 hari je lagi. Tunggu apa lagi, jo… https://t.co/wlmtY9v52R",12,5,0,[{'url': 'https://t.co/wlmtY9v52R'}]
